time step,distance
0.0,6.082762530298219
1.0,5.9496050289073805
2.0,5.816459404139256
3.0,5.683326490709468
4.0,5.550207203339348
5.0,5.431400406293795
6.0,5.312750994368885
7.0,5.194269752721505
8.0,5.075968457456985
9.0,4.965516257845315
10.0,4.897711077349765
11.0,4.872391329504485
12.0,4.847212440424987
13.0,4.813775849732857
14.0,4.7803762927607485
15.0,4.747014551206246
16.0,4.713691427999489
17.0,4.698454548968157
18.0,4.684395967526493
19.0,4.671526321661104
20.0,4.659855462232898
21.0,4.636865777018328
22.0,4.615196825090754
23.0,4.594867291841379
24.0,4.575895029390608
25.0,4.617234406893572
26.0,4.658954549822495
27.0,4.70104532070595
28.0,4.743496853404735
29.0,4.60601670907131
30.0,4.468776885602292
31.0,4.331800224549638
32.0,4.195112503925134
33.0,4.062209479782282
34.0,3.929953779807426
35.0,3.7984130215075242
36.0,3.6676641298296064
37.0,3.5320568537685517
38.0,3.396860971308277
39.0,3.2621276323391757
40.0,3.127916608874596
41.0,2.9966881874028366
42.0,2.865486052684781
43.0,2.7343139887195624
44.0,2.60317654123748
45.0,2.542277735295262
46.0,2.4836899145413707
47.0,2.427580406392067
48.0,2.374124932915381
49.0,2.4334784453925757
50.0,2.4928332742706396
51.0,2.5521893277051952
52.0,2.6115465221999252
53.0,2.474693243560563
54.0,2.33784442584678
55.0,2.2010009011425242
56.0,2.064163722146655
57.0,1.9652254564321132
58.0,1.8713606025977325
59.0,1.7833704334390967
60.0,1.7021662340494892
61.0,1.7558347267147958
62.0,1.8097833682251496
63.0,1.8639878340371374
64.0,1.918426439595716
65.0,1.980721467076581
66.0,2.0430186722279156
67.0,2.1053178617352852
68.0,2.1676188645025123
69.0,2.033617873870203
70.0,1.900407826456036
71.0,1.7681674953295943
72.0,1.6371318856398502
73.0,1.5043723897917678
74.0,1.372249891033847
75.0,1.2409678641296573
76.0,1.1108243408604936
77.0,1.012998505871061
78.0,0.9268053979341683
79.0,0.8557672197957097
80.0,0.8039115868103298
81.0,0.804880217495582
82.0,0.8302449321329654
83.0,0.8778936654618898
84.0,0.9444596794425141
85.0,0.8621476549208653
86.0,0.7802663683296545
87.0,0.6989672138770587
88.0,0.6184797979495187
89.0,0.5403204880719495
90.0,0.462884582070004
91.0,0.38660700968181433
92.0,0.31233757487898667
93.0,0.24240153293939995
94.0,0.18224287325830757
95.0,0.1446258819420102
96.0,0.14788862631572836
97.0,0.18236675892522186
98.0,0.2384705276837662
99.0,0.30447121248519515
100.0,0.37518157568860305
101.0,0.3015983879290513
102.0,0.23040306798586563
103.0,0.1647215017654757
104.0,0.11447438936777579
105.0,0.17001826333866074
106.0,0.22749404929319583
107.0,0.28573831315818965
108.0,0.3443613411762593
109.0,0.2090696106980955
110.0,0.07420313059197578
111.0,0.06302968120894994
112.0,0.19776251032086273
113.0,0.1514794646263951
114.0,0.13547005868613743
115.0,0.15914878660922305
116.0,0.2094627094252979
117.0,0.13478683474448178
118.0,0.11380401472958279
119.0,0.16800659357356
120.0,0.252966551083927
121.0,0.18203796533976258
122.0,0.11721625353659916
123.0,0.07614173475594135
124.0,0.09649643444451249
125.0,0.19369512195871477
126.0,0.3251325180354817
127.0,0.46248418773075745
128.0,0.6017135606925095
129.0,0.5448319789423025
130.0,0.4882803932192832
131.0,0.4321883622841263
132.0,0.37676119698365684
133.0,0.32358432347445387
134.0,0.2726962151877075
135.0,0.2256506895411563
136.0,0.18539643506960038
137.0,0.1418319611687679
138.0,0.11176228483379107
139.0,0.1072163580960863
140.0,0.13088133023978318
141.0,0.0402049294184095
142.0,0.09574067269497263
143.0,0.19944784476392557
144.0,0.3057056353229468
145.0,0.2458051310237298
146.0,0.23482002737716912
147.0,0.2785978893094328
148.0,0.3575600347471212
149.0,0.3575600347471212
